"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping"
"Range","Range","","","",0,*,"","","","null {[]} {[]}
","範囲指定された時間の上限下限","範囲指定された時間の上限下限","時間の上限量、下限量の範囲を持っている。単位指定された数量を割り当てている。Low,Highの値は時間の単位当てはめる。","","","","","","","","",,,,,"",,,,"Range",0,*,"ele-1
","","NR and also possibly SN (but see also quantity)","n/a","IVL<QTY[not(type=""TS"")]> [lowClosed=""true"" and highClosed=""true""]or URG<QTY[not(type=""TS"")]>"
"Range.id","Range.id","","","",0,1,"","","","string {[]} {[]}
","要素間参照のための一意のID / Unique id for inter-element referencing","リソース内の要素の一意のID（内部参照用）。これは、スペースを含まない文字列値である場合があります。 / Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Range.extension","Range.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","実装で定義された追加のコンテンツ / Additional content defined by implementations","要素の基本的な定義の一部ではない追加情報を表すために使用できます。拡張機能を安全で管理しやすくするために、拡張機能の定義と使用に適用される厳格なガバナンスセットがあります。実装者は拡張機能を定義できますが、拡張機能の定義の一部として満たされる一連の要件があります。 / May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","拡張機能を使用または定義する機関や管轄権に関係なく、アプリケーション、プロジェクト、または標準による拡張機能の使用に関連するスティグマはありません。拡張機能の使用は、FHIR仕様がすべての人にコアレベルのシンプルさを保持できるようにするものです。 / There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:両方ではなく、拡張または値[x]が必要です / Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Range.low","Range.low","","","",0,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","時間範囲（下限）","低制限。境界は包括的です。 / The low limit. The boundary is inclusive.","低要素が欠落している場合、低境界は不明です。 / If the low element is missing, the low boundary is not known.","","","","","","","","",,,,,"",,,,"Range.low",0,1,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","NR.1","./low"
"Range.low.id","Range.low.id","","","",0,1,"","","","string {[]} {[]}
","要素間参照のための一意のID / Unique id for inter-element referencing","リソース内の要素の一意のID（内部参照用）。これは、スペースを含まない文字列値である場合があります。 / Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Range.low.extension","Range.low.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","実装で定義された追加のコンテンツ / Additional content defined by implementations","要素の基本的な定義の一部ではない追加情報を表すために使用できます。拡張機能を安全で管理しやすくするために、拡張機能の定義と使用に適用される厳格なガバナンスセットがあります。実装者は拡張機能を定義できますが、拡張機能の定義の一部として満たされる一連の要件があります。 / May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","拡張機能を使用または定義する機関や管轄権に関係なく、アプリケーション、プロジェクト、または標準による拡張機能の使用に関連するスティグマはありません。拡張機能の使用は、FHIR仕様がすべての人にコアレベルのシンプルさを保持できるようにするものです。 / There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:両方ではなく、拡張または値[x]が必要です / Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Range.low.value","Range.low.value","","","",0,1,"","","Y","decimal {[]} {[]}
","時間範囲（下限）","時間範囲（下限）","値の暗黙の精度は常に尊重されるべきです。金銭的価値には、精度を処理するための独自のルールがあります（標準的な会計の教科書を参照）。 / The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).","精度は、測定のほとんどすべての場合に暗黙的に処理されます。 / Precision is handled implicitly in almost all cases of measurement.","","","","","","","",,,,,"",,,,"Quantity.value",0,1,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","SN.2  / CQ - N/A","PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value"
"Range.low.comparator","Range.low.comparator","","","",0,0,"","Y","Y","code {[]} {[]}
","<|<= |> = |>  - 価値を理解する方法 / < | <= | >= | > - how to understand the value","この文脈で使用することは許可されていません / Not allowed to be used in this context","","測定方法の制限があるため、値が<5ug/Lまたは> 400mg/Lの測定値を処理するためのフレームワークが必要です。 / Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.","","コンパレータがない場合、値の変更はありません / If there is no comparator, then there is no modification of the value","","","","","",,"required","量を理解し、表現する方法。 / How the Quantity should be understood and represented.","http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1","",,,,"Quantity.comparator",0,1,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","SN.1  / CQ.1","IVL properties"
"Range.low.unit","Range.low.unit","","","",0,1,"","","Y","string {[]} {[]}
","単位時間の単位","ユニットの人間の読み取り可能な形式。 / A human-readable form of the unit.","","測定単位には多くの表現があり、多くのコンテキストでは、特定の表現が固定され、必要です。すなわちマイクログラム用MCG。 / There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.","","","","","","","",,,,,"",,,,"Quantity.unit",0,1,"","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(see OBX.6 etc.) / CQ.2","PQ.unit"
"Range.low.system","Range.low.system","","","",0,1,"","","Y","uri {[]} {[]}
","UCUMを識別するURL","UCUMを識別するURL。固定値。","","ユニットのコード化された形式を定義するシステムを知る必要があります。 / Need to know the system that defines the coded form of the unit.","","","","","","","",,,,,"",,,,"Quantity.system",0,1,"qty-3
","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(see OBX.6 etc.) / CQ.2","CO.codeSystem, PQ.translation.codeSystem"
