URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,null,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/jp-radiologymodality-vs"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageComment_CS,1.2.0-dev,active,,JP_MedicationExampleDosageComment_CS,JP Core Medication Example DosageComment CodeSystem,"注射用法コメントのコードシステム例","ValueSet/jp-medication-example-dosagecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageLineComment_CS,1.2.0-dev,active,,JP_MedicationExampleLineComment_CS,JP Core Medication Example LineComment CodeSystem,"注射ラインコメントのコードシステム例","ValueSet/jp-medication-example-linecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageMethodComment_CS,1.2.0-dev,active,,JP_MedicationExampleMethodComment_CS,JP Core Medication Example MethodComment CodeSystem,"注射手技コメントのコードシステム例","ValueSet/jp-medication-example-methodcomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageRateComment_CS,1.2.0-dev,active,,JP_MedicationExampleRateComment_CS,JP Core Medication Example RateComment CodeSystem,"注射投与速度コメントのコードシステム例","ValueSet/jp-medication-example-ratecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageRouteComment_CS,1.2.0-dev,active,,JP_MedicationExampleRouteComment_CS,JP Core Medication Example RouteComment CodeSystem,"注射投与経路コメントのコードシステム例","ValueSet/jp-medication-example-routecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageSiteComment_CS,1.2.0-dev,active,,JP_MedicationExampleSiteComment_CS,JP Core Medication Example SiteComment CodeSystem,"注射投与部位コメントのコードシステム例","ValueSet/jp-medication-example-sitecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationUncategorizedComment_CS,1.2.0-dev,active,,JP_MedicationExampleUncategorizedComment_CS,JP Core MedicationAdministration Example Uncategorized Comment CodeSystem,"注射実施未分類コメントのコードシステム例","ValueSet/jp-medication-example-uncategorized-comment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationRequestDosageInstructionLine_CS,1.2.0-dev,active,,JP_MedicationExampleLine_CS,JP Core Medication Example Line CodeSystem,"投与ラインのコードシステム例","ValueSet/jp-medication-example-line-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSI0001,null,active,,JP_MedicationCategoryJHSI0001_CS,JP Core Medication JHSI0001 Category CodeSystem,"JAHIS注射データ交換規約Ver.2.1C JHSI表0001処方区分コードのコードシステム","ValueSet/jp-medicationcategoryinjection-vs,ValueSet/jp-medicationcategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSP0002,null,active,,JP_MedicationInstructionForDispenseJHSP0002_CS,JP Core Medication JHSP0002 Instruction For Dispense CodeSystem,"JAHIS処方データ交換規約Ver.3.0C JHSP表0002調剤特別指示のコードシステム","ValueSet/jp-medicationinstructionfordispensejhsp0002-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSP0007,null,active,,JP_MedicationCategoryJHSP0007_CS,JP Core Medication JHSP0007 Category CodeSystem,"JAHIS処方データ交換規約Ver.3.0C JHSP表0007処方区分コードのコードシステム","ValueSet/jp-medicationcategoryinjection-vs,ValueSet/jp-medicationcategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ConditionSeverity_CS,null,active,,JP_ConditionSeverity_CS,JP Core Condition Severity CodeSystem,"Conditionの重症度を示すコードシステム（HL70421 Severity of Illness Code）","ValueSet/jp-condition-severity-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_DocumentCodes_CS,1.2.0-dev,active,,JP_DocumentCodes_CS,JP Core Document Codes CodeSystem,"SS MIX 標準文書コード表","ValueSet/jp-documentcodes-diagnosticreport-vs,ValueSet/jp-documentcodes-endoscopy-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_JfagyFoodAllergen_CS,20240709,active,,JP_JfagyFoodAllergen_CS,JP Core JFAGY Food Allergen CodeSystem,"JFAGY アレルゲンコード（食品）","ValueSet/jp-allergyintolerance-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_JfagyMedicationAllergen_CS,20240601,active,,JP_JfagyMedicationAllergen_CS,JP Core JFAGY Medication Allergen CodeSystem,"JFAGY アレルゲンコード（医薬品）","ValueSet/jp-allergyintolerance-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_JfagyNonFoodNonMedicationAllergen_CS,20240709,active,,JP_JfagyNonFoodNonMedicationAllergen_CS,JP Core JFAGY Non Food None Medication Allergen CodeSystem,"JP Core JFAGY アレルゲンコード（非食品・非医薬品）","ValueSet/jp-allergyintolerance-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MedicalLicenseCertificate_CS,null,active,,JP_MedicalLicenseCertificate_CS,JP Core MedicalLicenseCertificate CodeSystem,"医療関連免許証明に関するコードシステム。（現在作成中、今後医療系免許に関する情報追加する予定です。）","ValueSet/jp-medicallicensecertificate-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MedicationAsNeededConditionJAMI_CS,null,active,,JP_MedicationAsNeededConditionJAMI_CS,JP Core Medication JAMI As Needed Condition CodeSystem,"JAMI標準用法規格頓用指示コードのコードシステム","ValueSet/jp-medicationusageinjection-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MedicationAsNeededConditionMERIT9_CS,null,active,,JP_MedicationAsNeededConditionMERIT9_CS,JP Core Medication MERIT9 As Needed Condition CodeSystem,"MERIT9頓用指示コードのコードシステム(test)","ValueSet/jp-medicationusageinjection-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MedicationCategoryMERIT9_CS,null,active,,JP_MedicationCategoryMERIT9_CS,JP Core Medication MERIT9 Category CodeSystem,"MERIT9処方区分コードのコードシステム","ValueSet/jp-medicationcategoryinjection-vs,ValueSet/jp-medicationcategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MedicationFormMERIT9_CS,null,active,,JP_MedicationFormMERIT9_CS,JP Core Medication MERIT9 Form CodeSystem,"MERIT9剤形コードのコードシステム","ValueSet/jp-medicationformmerit9-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_MicrobiologyCategory_CS,1.2.0-dev,active,,JP_MicrobiologyCategory_CS,JP Core MicrobiologyCategory CodeSystem,"微生物学検査カテゴリコードシステム","ValueSet/jp-microbiology-category-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationBodyMeasurementCategory_CS,1.2.0-dev,active,,JP_ObservationBodyMeasurementCategory_CS,JP Core Observation BodyMeasurement Category CodeSystem,"Observation（身体計測）で使用する分類のコード （出典：看護実践用語標準マスターの概要＜看護行為編＞Ver. 3. 6）","ValueSet/jp-observation-bodymeasurement-category-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationBodyMeasurementCode_CS,1.2.0-dev,active,,JP_ObservationBodyMeasurementCode_CS,JP Core Observation BodyMeasurement Code CodeSystem,"Observation（身体計測）で使用する項目コードのコードシステム （出典：看護実践用語標準マスターの概要＜看護行為編＞Ver. 3. 6）","ValueSet/jp-observation-bodymeasurement-code-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationBodySite_CS,1.2.0-dev,active,,JP_ObservationBodySite_CS,JP Core Observation BodySite CodeSystem,"Observationで使用する身体部位のコード","ValueSet/jp-observation-bodysite-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationPhysicalExamBodySite_CS,null,active,,JP_ObservationPhysicalExamBodySite_CS,JP Core Observation PhysicalExam BodySite CodeSystem,"Observation（身体所見）で使用する身体部位のコード。J_ANAT（作成中）の使用を想定","ValueSet/jp-observationphysicalexambodysite-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationPhysicalExamMethod_CS,null,active,,JP_ObservationPhysicalExamMethod_CS,JP Core Observation PhysicalExam Method CodeSystem,"Observation（身体所見）で使用する診察方法のコード","ValueSet/jp-observationphysicalexammethod-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationSocialHistoryCode_CS,null,active,,JP_ObservationSocialHistoryCode_CS,JP Core Observation SocialHistory Code CodeSystem,"Observation（生活背景）で使用する項目コード、電子保存された診療録情報の交換のためのデータ項目セット J-MIX([https://www2.medis.or.jp/master/jmix/file/tab1.pdf](https://www2.medis.or.jp/master/jmix/file/tab1.pdf))にて定義される","ValueSet/jp-observationsocialhistorycode-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ObservationVitalSignsCategory_CS,null,active,,JP_ObservationVitalSignsCategory_CS,JP Core Observation VitalSigns Category CodeSystem,"Observation（バイタルサイン）で使用する分類のコード （出典：看護実践用語標準マスターの概要＜看護行為編＞Ver. 3. 6）","ValueSet/jp-observationvitalsignscategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_PhysicalExamCode_CS,1.2.0-dev,active,,JP_PhysicalExamCode_CS,JP Core Physical Exam Code CodeSystem,"身体所見の区分を表すコード","ValueSet/jp-physicalexamcode-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_PractitionerRole_CS,null,active,,JP_PractitionerRole_CS,JP Core Practitioner Role CodeSystem,"実施者のロール（役割・職種））を示すコード","ValueSet/jp-procedure-performer-role-vs,ValueSet/jp-practitionerrole-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ProcedureBodySite_CS,1.2.0-dev,active,,JP_ProcedureBodySite_CS,JP Core Procedure BodySite CodeSystem,"処置の対象となる身体部位のコード（今後用語を実装予定）","ValueSet/jp-procedure-body-site-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ProcedureCategory_CS,null,active,,JP_ProcedureCategory_CS,JP Core Procedure Category CodeSystem,"処置のカテゴリを示すコードのコードシステム（より適切なコードと用語に見直し必要）","ValueSet/jp-procedurecategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ProcedureCodesSTEM7_CS,null,active,,JP_ProcedureCodesSTEM7_CS,JP Core Procedure Codes STEM7 CodeSystem,"処置のコード:外保連手術基幹コード(STEM7)","ValueSet/jp-procedurecodesstem7-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ProcedureNotPerformedReason_CS,1.2.0-dev,active,,JP_ProcedureNotPerformedReason_CS,JP Core Procedure Not Performed Reason CodeSystem,"処置が実施されなかった理由、または開始された処置が完了しなかった理由を示すコード（より適切なコードと用語に見直し必要）","ValueSet/jp-procedure-not-performed-reason-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ProcedureOutcome_CS,1.2.0-dev,active,,JP_ProcedureOutcome_CS,JP Core Procedure Outcome CodeSystem,"処置が実施されたアウトカムを示すコードシステム（より適切なコードと用語に見直し必要）","ValueSet/jp-procedure-outcome-vs"
