Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	135244	-	0	0	0	0	0	0	37	107	0	0	0	0	0	0	0	3	0	0	83	388	356	0	0	0	19	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	1	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	5	11	14	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	128084	21	0	0	0	0	1	0	12	103	0	0	0	0	0	0	0	0	0	0	7	268	70	0	3	0	9	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	128075	11	0	0	0	0	0	0	10	65	0	0	0	0	0	0	0	1	0	0	6	249	105	0	3	0	8	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	16	575	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	14	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9802	4	0	0	0	0	0	0	2	10	0	0	1	0	0	0	0	0	0	0	6	47	102	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	839	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	930	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	13	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13968	4	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	5	47	76	0	0	0	4	0	0
