"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: SNOMED CT Concept Domain Binding","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping","Mapping: SNOMED CT Attribute Binding"
"Condition","Condition","","","",0,*,"","","","null {[]} {[]}
","Detailed information about disease. 患者の診断に関する詳細な情報","A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.

健康上の懸念となるレベルに達した、身体的、精神的、社会的な負の状態(condition)や問題（problem／issue）、医療者による診断(diagnosis)、生じたイベント(event)、置かれている状況(situation)、臨床的概念(clinical concept)。","","","","","","","","","",,,,,"",,,,"Condition",0,*,"","con-3:「verificationStatus」が「entered-in-error」でなく、「category」が「problem-list-item」である場合、「condition.clinicalStatus」が存在している必要があります。」 {clinicalStatus.exists() or verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code = 'entered-in-error').exists() or category.select($this='problem-list-item').empty()}
con-4:もし状態が軽減された場合、臨床状態は不活動、解決、または寛解でなければなりません。 {abatement.empty() or clinicalStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-clinical' and (code='resolved' or code='remission' or code='inactive')).exists()}con-5:「verificationStatusがentered-in-errorである場合、condition.clinicalStatusは存在してはなりません。」 {verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code='entered-in-error').empty() or clinicalStatus.empty()}dom-2:もしリソースが他のリソースに含まれている場合、そのリソースにはネストされたリソースを含めてはなりません (moshi risōsu ga hoka no risōsu ni fukumarete iru baai, sono risōsu ni wa nesuto sareta risōsu o fukumete wa narimasen). {contained.contained.empty()}dom-3:もしリソースが他のリソースに含まれている場合、それはリソースの他の場所から参照されるか、含まれるリソースに参照されるべきです。 {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:もしリソースが別のリソースの中に含まれる場合、meta.versionIdまたはmeta.lastUpdatedを持つべきではありません。 {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:「もしリソースが他のリソースに含まれている場合、セキュリティラベルを持つべきではありません。」 {contained.meta.security.empty()}dom-6:「資源は堅牢な管理のために物語を持つべきである。」 {text.`div`.exists()}","Event","< 243796009 |Situation with explicit context| : 246090004 |Associated finding| = ( ( < 404684003 |Clinical finding| MINUS ( << 420134006 |Propensity to adverse reactions| OR << 473010000 |Hypersensitivity condition| OR << 79899007 |Drug interaction| OR << 69449002 |Drug action| OR << 441742003 |Evaluation finding| OR << 307824009 |Administrative status| OR << 385356007 |Tumor stage finding|)) OR < 272379006 |Event|)","PPR message","Entity. Role, or Act","Observation[classCode=OBS, moodCode=EVN, code=ASSERTION, value<Diagnosis]"
"Condition.id","Condition.id","","","",0,1,"","","Y","id {[]} {[]}
","このアーティファクトの論理ID","「リソースのURLで使用される論理ID。一度割り当てられたら、この値は変更されません。」","「リソースにIDがないのは、作成操作を使用してサーバーに送信されているときだけです。」","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Condition.meta","Condition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","「リソースに関するメタデータ」","リソースに関するメタデータ。これはインフラストラクチャによって維持されるコンテンツです。 コンテンツの変更は、リソースのバージョン変更と常に関連しているわけではありません。","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
"
"Condition.implicitRules","Condition.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","このコンテンツが作成されたルールセット","「リソース構築時に遵守された一連のルールを指すものであり、コンテンツを処理する際に理解する必要があります。しばしば、特別なルールを定義する実装ガイドとその他のプロファイルなどを含むものです。」","このルールセットを主張することで、取引先の限られた集団にしか内容を理解させることができず、長期的にはデータの有用性が制限されます。しかしながら、現存するヘルスエコシステムは高度に分断化しており、一般的に計算可能な形式でデータを定義、収集、交換する準備が整っていません。できる限り、実装者および/または仕様ライターはこの要素の使用を避けるべきです。使用する場合、URLは、そのナラティブとともに他のプロファイル、値セットなどを含む実装ガイドを定義する参照となります。","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
"
"Condition.language","Condition.language","","","",0,1,"","","","code {[]} {[]}
","「リソースコンテンツの言語」(Risōsukontentsu no gengo)","「リソースが書かれている基本言語。」","言語はインデックスとアクセシビリティをサポートするために提供されます（通常、テキスト読み上げなどのサービスは言語タグを使用します）。物語のHTML言語タグは、物語に適用されます。リソース上の言語タグは、リソース内のデータから生成される他のプレゼンテーションの言語を指定するために使用できます。すべてのコンテンツが基本言語である必要はありません。Resource.languageは自動的に物語に適用されたと想定してはいけません。言語が指定されている場合、HTMLのdiv要素にも指定する必要があります（xml：langとhtml lang属性の関係に関する情報はHTML5の規則を参照）。","","","","","","","","",,"preferred","「人間の言語。」(Ningen no gengo.)","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
"
"Condition.text","Condition.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation. このリソースを人間が解釈するためのテキスト要約","「リソースの要約を含む人が読めるナビゲーションであり、リソースの内容を人に表現するために使用できます。ナビゲーションはすべての構造化されたデータをエンコードする必要はありませんが、人間がナビゲーションを読むだけで「臨床的に安全」であるために十分な詳細を含む必要があります。リソース定義には、臨床的な安全性を確保するためにナビゲーションで表現する必要があるコンテンツが定義される場合があります。」","含まれるリソースには説明がありません。含まれないリソースには説明が必要です。場合によっては、リソースが少量のデータしか含まず、テキストだけで表現されることがあります（minOccurs = 1要素がすべて満たされている限り）。これは、情報が「テキストの塊」としてキャプチャされるレガシーシステムからのデータや、テキストが生またはナレーションされて符号化された情報が後で追加される場合に必要な場合があります。","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","Act.text?"
"Condition.contained","Condition.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","「含まれている、インラインのリソース」(Fukuma rete iru, inrain no risōsu)","「これらのリソースは、それらを含むリソースから独立した存在を持ちません。それらは独立して識別することはできず、独自の独立したトランザクション範囲を持つこともできません。」","「コンテンツが適切に識別できる場合には、これを行うべきではありません。識別が失われると、再び復元することは非常に困難であり（文脈に依存します）、メタ要素にプロファイルとタグを持つことができますが、セキュリティのラベルを持っていてはいけません。」","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"Condition.extension","Condition.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
ext-1:「拡張機能または値[x]のいずれかが必要です。両方ではありません。」 {extension.exists() != value.exists()}"
"Condition.extension:diseaseOutcome","Condition.extension","diseaseOutcome","","",0,1,"","","","Extension {[CanonicalType[http://jpfhir.jp/fhir/core/Extension/StructureDefinition/JP_Condition_DiseaseOutcome]]} {[]}
","病名転帰","病名の転帰を格納するための拡張。
病名の転帰をCodeableConcept型で記述する。","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:すべてのFHIR要素には、@valueまたは子供が必要です / All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:両方ではなく、拡張または値[x]が必要です / Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Condition.modifierExtension","Condition.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","無視できない拡張機能 (Mushi dekinai kakuchou kinou)","「リソースの基本的な定義に含まれない、要素の理解や、それを含む要素の子孫の理解を修正する追加情報を表すためにも使用されることがあります。通常、修飾要素は否定や修飾を提供します。拡張機能の使用を安全で管理しやすくするために、拡張機能の定義と使用に対して厳格な統治が適用されます。実装者は拡張機能を定義することが許可されていますが、拡張機能の定義の一部として満たす必要がある要件があります。リソースを処理するアプリケーションは、修飾子拡張をチェックする必要があります。修飾子拡張は、リソースまたはドメインリソースの任意の要素の意味を変更してはなりません（修飾子拡張自体の意味も変更できません）。」","どのようなアプリケーション、プロジェクト、または標準が拡張機能を使用しているかに関わらず、拡張機能の使用には決して汚名が付くわけではありません - それらを使用または定義する機関または管轄区域に関係なく。拡張機能の使用こそが、FHIR仕様を誰にとっても簡単なコアレベルで維持することを可能にします。","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
ext-1:「拡張機能または値[x]のいずれかが必要です。両方ではありません。」 {extension.exists() != value.exists()}","N/A"
"Condition.identifier","Condition.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","この状態の外部ID。","サーバーからサーバーへ伝搬するにつれて更新され、パフォーマーまたは他のシステムによって割り当てられたビジネス識別子が、この状態に対して一定の値を保持します。","これはビジネス識別子であり、リソース識別子ではありません（[discussion]（resource.html＃identifiers）を参照）。 識別子が単一のリソースインスタンスにのみ表示されることが最善の方法ですが、ビジネス上の実践によっては、同じ識別子を持つ複数のリソースインスタンスが存在する場合があります。 たとえば、複数の患者と個人リソースインスタンスが同じ社会保険番号を共有する場合があります。","Allows identification of the condition as it is known by various participating systems and in a way that remains consistent across servers.","","","","","","","",,,,,"",,,,"Condition.identifier",0,*,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","Event.identifier",".id","FiveWs.identifier"
"Condition.clinicalStatus","Condition.clinicalStatus","","","",0,1,"","Y","Y","CodeableConcept {[]} {[]}
","active | recurrence | relapse | inactive | remission | resolved （アクティブ | 再発 | 再燃 | インアクティブ | 寛解 | 完治）【詳細参照】","The clinical status of the condition.

この患者状態の臨床的ステータス（アクティブか否かなど）","診断の場合、転帰区分を指定するのに使用する。使用する場合、ConditionClinicalStatusCodesは必須で、それ以外にHL7表0241、JHSD表0006、レセプト電算システム転帰区分コードが使用できる。","","","","","","","","",,"required","病態や診断の臨床状態。","http://hl7.org/fhir/ValueSet/condition-clinical|4.0.1","",,,,"Condition.clinicalStatus",0,1,"con-3
con-4con-5","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","Event.status","< 303105007 |Disease phases|","PRB-14","Observation ACT
.inboundRelationship[typeCode=COMP].source[classCode=OBS, code=""clinicalStatus"", moodCode=EVN].value","FiveWs.status"
"Condition.verificationStatus","Condition.verificationStatus","","","",0,1,"","Y","Y","CodeableConcept {[]} {[]}
","unconfirmed | provisional | differential | confirmed | refuted | entered-in-error（十分に確認されていない | 暫定的 | 鑑別的 | 十分な根拠で存在 | 十分な根拠で否定 | 誤記載）。【詳細参照】","The verification status to support the clinical status of the condition.

 この患者状態が存在するかどうかの検証状況。","疑い病名を指定するのに使用する。疑い病名の場合は 'unconfirmed'を、確定病名の場合は'confirmed'をそれぞれ指定する。","","","","","","","","",,"required","「状態や診断の臨床状況を支持または拒否するための検証状況」","http://hl7.org/fhir/ValueSet/condition-ver-status|4.0.1","",,,,"Condition.verificationStatus",0,1,"con-3
con-5","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","Event.status","< 410514004 |Finding context value|","PRB-13","Observation ACT
.inboundRelationship[typeCode=COMP].source[classCode=OBS, code=""verificationStatus"", moodCode=EVN].value","FiveWs.status","408729009"
"Condition.category","Condition.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","problem-list-item | encounter-diagnosis（プロブレムリスト | 一時的な診断）","「状態に割り当てられたカテゴリー。」","分類はしばしば文脈に強く依存しており、他の文脈では区別が不十分であるか、あまり役に立たないように見えることがあります。","","","","","","","","",,"extensible","「状態に割り当てられたカテゴリー。」","http://hl7.org/fhir/ValueSet/condition-category","",,,,"Condition.category",0,*,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","< 404684003 |Clinical finding|","'problem' if from PRB-3. 'diagnosis' if from DG1 segment in PV1 message",".code","FiveWs.class"
"Condition.severity","Condition.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Subjective severity of condition. この患者状態の重症度。このプロファイルは、HL70421 Severity of Illness Codeで表現","A subjective assessment of the severity of the condition as evaluated by the clinician.  
医療者によって評価されたこの患者状態の重症度。","Coding of the severity with a terminology is preferred, where possible.  
可能な限り、ターミノロジを用いて重症度をコーディングすることが好ましい。  
このプロファイルではHL70421 Severity of Illness Code（MI 軽度, MO 中度, SE 重度）を採用。","","","","","","","","",,"preferred","","http://jpfhir.jp/fhir/core/ValueSet/JP_ConditionSeverity_VS","",,,,"Condition.severity",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","< 272141005 |Severities|","PRB-26 / ABS-3","Can be pre/post-coordinated into value.  Or ./inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""severity""].value","FiveWs.grade","246112005"
"Condition.code","Condition.code","","type
","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","病名の識別コード。【詳細参照】","病名を識別するためのコード。","JP_Condition_DiseaseCode_VSの中から適切な病名識別コードを指定する","0..1 to account for primarily narrative only resources.","","","","","","","",,"example","「状態や診断の特定」(Joutai ya shindan no tokutei)","http://hl7.org/fhir/ValueSet/condition-code","",,,,"Condition.code",0,1,"","ele-1:すべてのFHIR要素は、@valueまたはchildrenを持っている必要があります。 {hasValue() or (children().count() > id.count())}
","Event.code","code 246090004 |Associated finding| (< 404684003 |Clinical finding| MINUS
<< 420134006 |Propensity to adverse reactions| MINUS 
<< 473010000 |Hypersensitivity condition| MINUS 
<< 79899007 |Drug interaction| MINUS
<< 69449002 |Drug action| MINUS 
<< 441742003 |Evaluation finding| MINUS 
<< 307824009 |Administrative status| MINUS 
<< 385356007 |Tumor stage finding|) 
OR < 413350009 |Finding with explicit context|
OR < 272379006 |Event|","PRB-3",".value","FiveWs.what[x]","246090004"
